!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57292.5053605   -2.901          -2.851        
 57292.5146152   -3.312          -0.266        
 57295.452531    -3.0            -3.214        
 57295.4619505   -3.329          -0.321        
 57298.4519691   -2.33           -3.102        
 57299.448666    -2.203          -3.348        
 57299.460238    -4.745          -0.897        
 57299.5158954   -2.822          -0.365        
 57300.0535719   -2.44           -3.408        
 57300.0600565   -1.48           -1.614        
 57300.0851182   -5.08           -0.9          
 57300.0928446   -2.834          -0.384        
 57306.5275794   -2.36           -2.823        
 57306.5391748   -5.456          -0.584        
 57306.5947152   -2.924          -0.11         
 57310.4619494   -2.69           -2.749        
 57310.4711899   -3.211          -0.146        
 57321.4382212   -2.695          -3.42         
 57321.4497852   -5.602          -0.936        
 57321.5039517   -2.685          -3.286        
 57327.4164558   -2.635          -3.102        
 57327.4258563   -5.722          -0.73         
 57327.4270764   -3.21           -0.186        
 57328.4223657   -2.947          -2.838        
 57328.4340813   -5.795          -0.549        
 57331.023318    -2.343          -2.829        
 57331.0297918   -1.459          -1.472        
 57331.0548327   -4.798          -0.512        
 57331.0627154   -2.876          -0.174        
 57335.4095162   -3.021          -3.187        
 57335.4210789   -5.707          -0.715        
 57335.476355    -3.247          -0.343        
 57336.4232623   -5.847          -0.706        
 57338.4384394   -3.297          -0.339        
 57340.3860612   -2.464          -3.162        
 57340.3952825   -5.734          -0.979        
 57342.4342978   -2.871          -3.243        
 57342.4458848   -5.826          -0.928        
 57342.5012761   -3.253          -0.338        
 57343.4112002   -2.621          -3.117        
 57347.4109411   -2.345          -3.163        
 57349.4072094   -2.321          -3.094        
 57349.4187873   -5.312          -0.759        
 57356.4230278   -0.626          -6.029        
 57356.4346086   -5.809          -3.896        
 57357.4197845   -0.25           -0.226        
 57358.5899627   -0.27           -0.265        
 57358.824982    -4.169          -2.018        
 57359.4603787   -4.288          -2.033        
 57360.4363393   -3.334          -2.068        
 57363.4142679   -5.006          0.109         
 57363.4262082   -0.839          -0.238        
 57370.41806     -3.728          -2.602        
 57370.4296268   -5.998          -0.393        
 57377.4183147   -3.324          -2.491        
 57377.4298988   -5.232          -0.347        
 57377.4840386   -3.23           -2.643        
 57377.4930745   -2.908          0.143         
 57378.407912    -5.535          -0.263        
 57380.4149577   -3.007          -2.766        
 57384.4377711   -3.202          -2.629        
 57384.4493415   -5.175          -0.17         
 57391.4336106   -3.497          -2.667        
 57391.4451895   -5.471          -0.46         
 57397.4207171   -3.269          -0.027        
 57398.4150174   -3.345          -2.711        
 57398.4267575   -5.717          -0.322        
 57399.4244166   -3.421          -2.54         
 57401.439909    -3.224          -0.008        
 57405.4590025   -3.154          -2.708        
 57405.4707479   -5.727          -0.479        
 57412.466581    -3.53           -2.747        
 57412.4781659   -5.897          -0.339        
 57419.4580813   -3.2            -2.527        
 57419.4696768   -5.605          -0.35         
 57423.4405778   -3.266          -2.547        
 57424.435619    -3.038          0.047         
 57426.467201    -2.882          -2.686        
 57426.4787771   -5.103          -0.307        
 57427.4413249   -3.104          -0.052        
 57431.4587771   -4.629          -0.393        
 57433.4659544   -2.339          -2.648        
 57433.4775385   -4.374          -0.337        
 57439.4597387   -2.249          -2.602        
 57439.468974    -4.8            -0.343        
 57440.4578184   -2.253          -2.463        
 57440.4694315   -4.75           -0.277        
 57442.3880285   -4.261          -0.406        
 57447.4781646   -1.907          -2.677        
 57447.4897779   -4.107          -0.388        
 57453.4577791   -2.756          -0.038        
 57454.4636513   -2.263          -2.724        
 57454.4752357   -4.519          -0.438        
 57454.5520904   -4.803          -0.361        
 57456.4661486   -2.529          0.052         
 57461.4650527   -1.859          -2.704        
 57461.4769268   -3.8            -0.297        
 57464.4539824   -2.037          -2.712        
 57467.4587392   -2.43           -2.713        
 57467.4619108   -2.732          -0.084        
 57468.4677657   -2.338          -2.727        
 57468.4793683   -4.916          -0.375        
 57470.468213    -2.456          -2.566        
 57470.4774664   -5.008          -0.322        
 57475.4858459   -2.345          -2.496        
 57475.4976045   -4.914          -0.252        
 57476.4468791   -2.226          -2.47         
 57476.4561378   -5.044          -0.28         
 57478.4871052   -4.631          -0.347        
 57479.4909489   -4.468          -0.438        
 57482.4716586   -3.238          -2.249        
 57482.4832651   -5.601          -0.163        
 57482.5377582   -1.95           -1.129        
 57482.5447961   -3.46           0.203         
 57484.4584928   -3.52           -2.282        
 57485.4802299   -3.072          0.208         
 57488.4833663   -5.254          -0.168        
 57489.4168193   -3.239          -2.257        
 57489.4284189   -5.34           -0.114        
 57489.4829502   -3.239          -2.315        
 57495.4557415   -5.435          -0.096        
 57496.4866723   -3.289          -2.283        
 57496.4982697   -5.506          -0.076        
 57496.5569333   -5.481          -0.007        
 57497.480305    -3.187          -2.063        
 57500.4620497   -4.876          0.077         
 57503.4853829   -3.131          -1.959        
 57503.4969525   -5.01           0.016         
 57503.5520687   -5.209          0.191         
 57506.6513831   -2.597          -2.048        
 57510.4987109   -2.94           -2.032        
 57510.510307    -5.06           -0.036        
 57513.4116596   -2.886          -2.108        
 57513.4209311   -4.929          -0.091        
 57516.4227142   -2.838          -2.097        
 57517.4458791   -2.641          -1.963        
 57517.4574659   -4.861          0.282         
 57520.4855135   -3.779          0.301         
 57522.626565    -2.367          0.246         
 57523.4702694   -4.462          0.119         
 57524.4952519   -1.951          -1.923        
 57524.5068262   -4.108          0.036         
 57527.4865765   -4.399          0.317         
 57529.4683706   -1.787          -2.056        
 57530.4622167   -3.897          0.232         
 57531.4680544   -1.637          -2.025        
 57531.4796432   -3.732          0.092         
 57538.4576645   -1.865          -1.884        
 57538.4695423   -3.633          0.279         
 57540.4801139   -2.323          0.48          
 57540.4809857   -3.927          0.727         
 57543.4710644   -3.837          0.7           
 57543.4722851   -2.303          0.524         
 57545.4444911   -1.454          -1.728        
 57545.456086    -3.381          0.712         
 57548.4803583   -1.183          -1.844        
 57548.4910628   -2.021          0.356         
 57548.4919337   -3.363          0.293         
 57551.478708    -1.879          -1.961        
 57551.4897826   -3.984          0.071         
 57552.50969     -2.068          -2.086        
 57552.5212917   -3.975          0.083         
 57552.5803672   -4.183          0.125         
 57553.49509     -2.372          0.344         
 57554.471414    -4.247          0.156         
 57555.4696479   -1.486          -1.995        
 57559.5074211   -1.781          -1.743        
 57559.5189958   -3.681          0.425         
 57566.4823963   -1.148          -1.875        
 57566.4942489   -3.363          0.584         
 57567.5023765   -3.367          0.404         
 57568.5039787   -1.549          -2.044        
 57570.4691166   -2.258          0.219         
 57570.4700041   -3.886          0.072         
 57571.485777    -1.436          -2.048        
 57572.4355241   -3.65           0.006         
 57573.4359896   -1.725          -2.052        
 57573.4477351   -3.727          0.327         
 57576.4729613   -1.496          -2.004        
 57580.489247    -1.843          -1.924        
 57580.5011801   -4.263          0.526         
 57582.5073619   -4.009          0.427         
 57583.4940883   -2.177          -1.937        
 57585.4790025   -3.588          0.516         
 57587.5159925   -2.145          -2.034        
 57587.5275871   -4.184          0.445         
 57587.5830997   -2.324          0.463         
 57590.479518    -4.262          0.082         
 57592.4847941   -2.55           0.301         
 57593.4807195   -2.336          -2.038        
 57594.4958883   -2.062          -1.968        
 57594.5074846   -4.368          0.545         
 57595.4989939   -4.019          0.401         
 57596.4932961   -2.273          0.254         
 57600.4783618   -2.607          0.375         
 57601.4839779   -2.121          -1.997        
 57601.4955742   -4.204          0.276         
 57601.550993    -4.326          0.136         
 57604.4985217   -2.431          0.135         
 57608.5081737   -1.823          -1.952        
 57608.5197717   -3.923          0.259         
 57608.5741733   -2.119          -1.946        
 57611.4756949   -3.872          0.106         
