!mjd_obs        !mean_dy        !mean_dx       
!---------------!---------------!---------------
 57594.5366702   -3.235          -0.036        
 57595.5366026   -3.152          0.016         
 57596.5018123   -2.152          0.559         
 57597.5289338   -1.475          0.448         
 57600.4868712   -1.197          0.46          
 57600.4948853   -1.962          0.482         
 57601.5157467   -1.7            -0.095        
 57601.5245428   -3.414          -0.114        
 57601.5761485   -3.34           0.046         
 57604.5070167   -2.104          0.507         
 57608.5399498   -1.008          -0.113        
 57608.548466    -2.618          -0.07         
 57608.6137046   -1.044          -0.106        
 57610.4994842   -2.799          -0.255        
 57612.5098116   -1.755          0.466         
 57613.5320955   -1.041          -0.135        
 57615.6051315   -1.357          -0.326        
 57615.6136456   -2.876          -0.27         
 57616.4820735   -2.766          -0.119        
 57619.5338311   -1.559          -0.121        
 57619.5438466   -3.208          -0.214        
 57622.5419498   -1.883          -0.198        
 57622.5507472   -3.533          -0.187        
 57623.4760753   -2.99           -0.345        
 57623.4772967   -1.796          0.376         
 57624.4835176   -1.098          0.353         
 57629.503101    -0.913          -0.257        
 57629.5119047   -2.961          -0.318        
 57629.5949701   -1.064          -0.088        
 57629.6050134   -3.116          -0.107        
 57634.4711814   -3.227          -0.248        
 57635.5588381   -1.103          -0.164        
 57635.5600637   -1.08           0.507         
 57636.5128122   -0.923          -0.066        
 57636.5213377   -2.759          -0.14         
 57639.494468    -2.673          -0.21         
 57640.5257796   -1.448          -0.181        
 57642.4757169   -1.319          0.398         
 57643.4286589   -2.199          0.504         
 57643.5209049   -2.106          -0.282        
 57643.5294193   -3.696          -0.176        
 57643.6108484   -1.993          -0.043        
 57643.6273234   -3.734          -0.001        
 57650.5063462   -2.03           -0.181        
 57650.5148805   -3.738          -0.278        
 57651.5016117   -3.544          -0.054        
 57654.4781042   -2.563          -0.208        
 57655.4988642   -1.231          -0.354        
 57657.5143719   -1.015          -0.325        
 57657.5228953   -2.586          -0.09         
 57658.4841682   -0.939          0.412         
 57662.3722407   -2.413          -0.144        
 57663.5219115   -1.052          0.529         
 57663.5299183   -2.945          -0.007        
 57664.4901219   -0.995          -0.089        
 57664.4986152   -2.58           -0.001        
